portal,source_listing_id,source_url,title,employer,opportunity_type,city,state,education_required,certifications_required,skills_required,min_experience_months,age_min,age_max,stipend_or_salary,eligibility_raw,posted_on,closing_on,snapshot_date,is_active_in_snapshot
NAPS,APS-BPL-014,https://www.apprenticeshipindia.gov.in/demo/APS-BPL-014,Electrical Apprentice,BHEL Training Centre (Demo),Apprenticeship,Bhopal,Madhya Pradesh,10th,ITI Electrician,"basic safety practices;hand tools;residential wiring",0,18,25,"₹9,000–₹12,000/month","Class 10 and recognised ITI Electrician. Freshers accepted. Age 18–25.",2026-09-01,2026-10-15,2026-09-15,true
NCS,NCS-MP-221,https://www.ncs.gov.in/demo/NCS-MP-221,Junior Electrical Technician,Vindhya Facilities Services,Job,Bhopal,Madhya Pradesh,10th,ITI Electrician,"electrical troubleshooting;preventive maintenance;hand tools",12,18,32,"₹14,000–₹17,000/month","Recognised ITI Electrician and 12 months documented maintenance experience required.",2026-09-04,2026-10-10,2026-09-15,true
NATS,NATS-MP-078,https://nats.education.gov.in/demo/NATS-MP-078,Maintenance Trainee,Mandideep Components Co. (Demo),Apprenticeship,Mandideep,Madhya Pradesh,"ITI;Diploma",,"hand tools;basic safety practices;preventive maintenance",0,18,27,"₹12,500–₹15,000/month","ITI or Diploma in a relevant engineering trade. Fresh candidates may apply.",2026-09-03,2026-10-20,2026-09-15,true
NCS,NCS-MP-305,https://www.ncs.gov.in/demo/NCS-MP-305,Office Assistant Trainee,Bhopal District Services Centre (Demo),Job,Bhopal,Madhya Pradesh,12th,,"MS Word;MS Excel;data entry;customer handling",0,18,35,"₹11,000–₹14,000/month","Higher Secondary pass. Working knowledge of documents and spreadsheets. Freshers may apply.",2026-09-02,2026-10-12,2026-09-15,true
NCS,NCS-MP-109,https://www.ncs.gov.in/demo/NCS-MP-109,Data Entry Operator,Sarthak Digital Seva (Demo),Job,Bhopal,Madhya Pradesh,12th,Basic Computer Certificate,"MS Excel;data entry;Hindi typing",0,18,35,"₹13,000–₹16,000/month","12th pass and basic computer certificate. Accurate data entry required; Hindi Unicode typing desirable.",2026-09-05,2026-10-18,2026-09-15,true
NCS,NCS-MP-337,https://www.ncs.gov.in/demo/NCS-MP-337,Customer Support Associate,MP Citizen Connect (Demo),Job,Bhopal,Madhya Pradesh,12th,,"customer handling;customer communication;billing",0,18,40,"₹14,000–₹18,000/month","Minimum 12th pass. Clear spoken Hindi and customer handling ability required.",2026-09-06,2026-10-22,2026-09-15,true
NAPS,APS-BPL-032,https://www.apprenticeshipindia.gov.in/demo/APS-BPL-032,Fitter Apprentice,Central Workshop Bhopal (Demo),Apprenticeship,Bhopal,Madhya Pradesh,10th,ITI Fitter,"bench fitting;measurement tools;workshop safety",0,18,25,"₹9,500–₹11,500/month","Class 10 and recognised ITI Fitter certificate. No prior employment required.",2026-09-02,2026-10-16,2026-09-15,true
NCS,NCS-MP-144,https://www.ncs.gov.in/demo/NCS-MP-144,Assembly Line Trainee,Sehore Auto Parts (Demo),Job,Sehore,Madhya Pradesh,10th,ITI Fitter,"measurement tools;assembly;quality inspection",0,18,30,"₹12,000–₹14,500/month","10th pass with technical trade exposure. ITI Fitter preferred. Freshers accepted after assessment.",2026-09-07,2026-10-25,2026-09-15,true
NAPS,APS-BPL-052,https://www.apprenticeshipindia.gov.in/demo/APS-BPL-052,Retail Operations Apprentice,People's Retail Hub (Demo),Apprenticeship,Bhopal,Madhya Pradesh,12th,,"customer handling;billing;stock management",0,18,28,"₹10,000–₹12,500/month","12th pass. Hindi communication and willingness to work rotational shifts required.",2026-09-08,2026-10-28,2026-09-15,true
NCS,NCS-MP-412,https://www.ncs.gov.in/demo/NCS-MP-412,Warehouse Inventory Assistant,Govindpura Logistics (Demo),Job,Bhopal,Madhya Pradesh,12th,,"stock management;data entry;MS Excel",6,18,38,"₹13,500–₹16,500/month","12th pass and six months inventory or store experience. Basic spreadsheet use required.",2026-09-09,2026-10-30,2026-09-15,true
NATS,NATS-MP-119,https://nats.education.gov.in/demo/NATS-MP-119,Graduate Operations Apprentice,MP State Services Partner (Demo),Apprenticeship,Bhopal,Madhya Pradesh,Graduate,,"MS Excel;data entry;customer communication",0,18,30,"₹15,000/month","Graduate in any stream. Basic computer and Hindi communication skills required.",2026-09-10,2026-11-01,2026-09-15,true
NAPS,APS-IND-204,https://www.apprenticeshipindia.gov.in/demo/APS-IND-204,Solar Installation Apprentice,Urja MP Services (Demo),Apprenticeship,Indore,Madhya Pradesh,10th,ITI Electrician,"electrical troubleshooting;basic safety practices;can travel",0,18,27,"₹11,000–₹13,000/month","ITI Electrician. Field travel and safe work-at-height training required.",2026-09-11,2026-11-05,2026-09-15,true
